HCPCS_Cd,HCPCS_Desc,HCPCS_Drug_Ind
11102,"Biopsy of related skin growth, first growth",N
11103,"Biopsy of related skin growth, each additional growth",N
17000,"Destruction of precancer skin growth, 1 growth",N
17003,"Destruction of precancer skin growth, 2-14 growths",N
17110,"Destruction of skin growth, 1-14 growths",N
99203,"New patient office or other outpatient visit, 30-44 minutes",N
99212,"Established patient office or other outpatient visit, 10-19 minutes",N
99213,"Established patient office or other outpatient visit, 20-29 minutes",N
99214,"Established patient office or other outpatient visit, 30-39 minutes",N
11403,"Removal of noncancer skin growth of body, arms, or legs, 2.1-3.0 cm",N
11603,"Removal of cancer skin growth of body, arms, or legs, 2.1-3.0 cm",N
11623,"Removal of cancer skin growth of scalp, neck, hands, feet, or genitals, 2.1-3.0 cm",N
11643,"Removal of cancer skin growth of face, ears, eyelids, nose, lips, or mouth, 2.1-3.0 cm",N
12032,"Intermediate repair of wound of scalp, underarms, trunk, arms, or legs, 2.6-7.5 cm",N
12042,"Intermediate repair of wound of neck, hands, feet, or genitals, 2.6-7.5 cm",N
12052,"Intermediate repair of wound of face, ears, eyelids, nose, lips, or mouth, 2.6-5.0 cm",N
12053,"Intermediate repair of wound of face, ears, eyelids, nose, lips, or mouth, 5.1-7.5 cm",N
17004,"Destruction of precancer skin growth, 15 or more growths",N
17111,"Destruction of skin growth, 15 or more growths",N
99202,"New patient office or other outpatient visit, 15-29 minutes",N
10040,Acne surgery,N
11602,"Removal of cancer skin growth of body, arms, or legs, 1.1-2.0 cm",N
11900,"Injection into skin growth, 1-7 growths",N
13120,"Complicated repair of wound of scalp, arms, or legs, 1.1-2.5 cm",N
13121,"Complicated repair of wound of scalp, arms, or legs, 2.6-7.5 cm",N
13131,"Complicated repair of wound of forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, or feet, 1.1-2.5 cm",N
13132,"Complicated repair of wound of forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, or feet, 2.6-7.5 cm",N
13151,"Complicated repair of wound of eyelids, nose, ears, or lip, 1.1-2.5 cm",N
14060,"Repair of wound of eyelids, nose, ears, or lips by transferring skin, 10.0 sq cm or less",N
17250,Application of chemical to stop tissue regrowth in wound,N
17311,"Removal and microscopic exam of growth of head, neck, hands, feet, or genitals, 1-5 tissue blocks",N
17312,"Removal and microscopic exam of growth of head, neck, hands, feet, or genitals, each additional stage, 1-5 tissue blocks",N
17313,"Removal and microscopic exam of growth of trunk, arms, or legs, 1-5 tissue blocks",N
69100,Biopsy of ear,N
99204,"New patient office or other outpatient visit, 45-59 minutes",N
11300,"Shaving of skin growth of body, arms, or legs, 0.5 cm or less",N
11301,"Shaving of skin growth of body, arms, or legs, 0.6-1.0 cm",N
11604,"Removal of cancer skin growth of body, arms, or legs, 3.1-4.0 cm",N
12034,"Intermediate repair of wound of scalp, underarms, trunk, arms, or legs, 7.6-12.5 cm",N
12044,"Intermediate repair of wound of neck, hands, feet, or genitals, 7.6-12.5 cm",N
12051,"Intermediate repair of wound of face, ears, eyelids, nose, lips, or mouth, 2.5 cm or less",N
12054,"Intermediate repair of wound of face, ears, eyelids, nose, lips, or mouth, 7.6-12.5 cm",N
13152,"Complicated repair of wound of eyelids, nose, ears, or lip, 2.6-7.5 cm",N
15260,"Full thickness skin graft to nose, ears, eyelids, or lips, 20.0 sq cm or less",N
17261,"Destruction of cancer skin growth of trunk, arms, or legs, 0.6-1.0 cm",N
17262,"Destruction of cancer skin growth of trunk, arms, or legs, 1.1-2.0 cm",N
17271,"Destruction of cancer skin growth of scalp, neck, hands, feet, or genitals, 0.6-1.0 cm",N
17272,"Destruction of cancer skin growth of scalp, neck, hands, feet, or genitals, 1.1-2.0 cm",N
17281,"Destruction of cancer skin growth of face, ears, eyelids, nose, lips, or mouth, 0.6-1.0 cm",N
17314,"Removal and microscopic exam of growth of trunk, arms, or legs, each additional stage, 1-5 tissue blocks",N
88302,Pathology examination of tissue using a microscope,N
88304,"Pathology examination of tissue using a microscope, moderately low complexity",N
88305,"Pathology examination of tissue using a microscope, intermediate complexity",N
88331,"Pathology examination of specimen during surgery, first tissue block",N
88332,"Pathology examination of specimen during surgery, each additional tissue block",N
11402,"Removal of noncancer skin growth of body, arms, or legs, 1.1-2.0 cm",N
11622,"Removal of cancer skin growth of scalp, neck, hands, feet, or genitals, 1.1-2.0 cm",N
13101,"Complicated repair of wound of trunk, 2.6-7.5 cm",N
96567,Application of light to destroy precancer skin growth,N
12031,"Intermediate repair of wound of scalp, underarms, trunk, arms, or legs, 2.5 cm or less",N
14061,"Repair of wound of eyelids, nose, ears, or lips by transferring skin, 10.1-30.0 sq cm",N
15275,"Application of skin substitute graft to wound of face, scalp, eyelids, mouth, neck, ears, around eyes, genitals, hands, feet, fingers, or toes, 25.0 sq cm or less of wound 100.0 sq cm or less",N
97597,"Removal of tissue from wound, 20.0 sq cm or less",N
Q4180,"Revita, per square centimeter",N
11104,"Punch biopsy, first skin growth",N
96910,Therapy procedure using ultraviolet radiation with tar or petroleum jelly application,N
11401,"Removal of noncancer skin growth of body, arms, or legs, 0.6-1.0 cm",N
96574,Application of light with debridement to destroy precancer skin growth,N
11901,"Injection into skin growth, more than 7 growths",N
77280,"Obtaining data needed to develop the optimal radiation treatment, 1 treatment area",N
77300,Calculation of radiation therapy dose,N
77334,Design and construction of complex radiation treatment device,N
77336,Continuing radiation therapy consultation per week,N
77401,Superficial and/or low voltage radiation treatment delivery,N
77427,"Radiation treatment management, 5 treatment sessions",N
