Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_Crdntls,Rndrng_Prvdr_Gndr,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Zip5
1003003153,Morrison,Laura,MD,F,WA,98104
1003010687,Perri,Anthony,MD,M,TX,77304
1003011404,Mccoppin,Holly,M.D.,F,CO,80537
1003013384,Osleber,Michael,MD,M,AR,72205
1003014762,Wharton,Joshua,M.D.,M,AL,35976
1003015173,Beauchamp Bruno,Mayra,M.D.,F,NH,3104
1003021973,Zhang,Alexandra,MD,F,OH,44320
1003033838,Ahern,Ryan,MD,M,TX,77845
1003038555,Pascoe,David,M.D.,M,FL,32308
1003043340,Lipton,Shira,M.D.,F,CA,94301
1003073958,Moe,Kathleen,MD,F,MD,21702
1003077363,Wilson,Cynthia,M.D.,F,SC,29407
1003077652,Patel,Utpalkumar,M.D. PH.D.,M,FL,34601
1003079757,Nogales Perez,Elena,MD,F,PR,983
1003079773,Chabra,Inderjit,"MD, PHD",M,AZ,85712
1003083247,Lombardi,Milan,MD,M,FL,33713
1003084138,Leo,Angela,DO,F,NY,11214
1003084591,Marchetti,Michael,M.D.,M,WA,98273
1003106014,Kane,Sinae,MD,F,CA,94117
1003124728,Gonzalez Rivera,Rosbel,MD,F,PR,961
1003130725,Morrell,Travis,MD,M,CO,81501
1003133216,Leong,Tracy,MD,F,CA,92506
1003133901,Blackmon,Joseph,M.D.,M,KY,42003
1003135823,Schiltz,Clayton,D.O.,M,CA,95020
1003136771,Dommasch,Erica,MD,F,MA,2215
1003142084,Singer,Thomas,DO,M,FL,33907
1003158544,Sandhu,Amandeep,M.D.,M,CA,92865
1003173154,Taylor,Drew,M.D.,M,CO,80209
1003173832,Okereke,Uchenna,"MD, MSC",F,MA,2021
1003175571,Sadeghpour,Mona,MD,F,CO,80124
1003176934,Secrest,Aaron,"MD, PHD",M,UT,84025
1003180993,Champlain,Amanda,M.D.,F,TX,75033
1003201179,Shah,Pooja,MD,F,NY,11743
1003201617,Mollanazar,Nicholas,"MD, MBA",M,PA,19104
1003201799,Fonseca,Maira,,F,NY,10065
1003202409,Almukhtar,Rawaa,"M.D., MPH",F,CA,92037
1003202433,Guffey,Darren,M.D.,M,VA,22908
